title,abstract,publish
Coordination Energetic Materials-Scientific Curiosity or Future of Energetic Material Applications?,"Significant incentives for developing and introducing new energetic materials to the industrial-scale production and application of new energetic materials have stimulated extensive research on the subject. Despite numerous studies, which have reported a broad array of results, progress in this field remains limited as the research results do not translate into commensurate practical applications. Coordination energetic materials are one of the promising classes of such materials. Despite more than two decades of research efforts dedicated to these substances and their advantages over classical energetic materials, in terms of performance parameters and safety parameters, these materials have not found any broader practical application. In this work, selected representative literature reports dedicated to these materials have been analysed in order to present the possible reasons for this state. Some suggestions about the future direction of research and development efforts dedicated to coordination energetic materials have also been formulated. The publication is one voice in the discussion on new challenges related to the search for new lead-free explosives.",2022
Amination of energetic anions: high-performing energetic materials,"The new energetic materials 2-amino-5-nitrotetrazole (ANT, 1), 1-amino-3,4-dinitro-1,2,4-triazole (ADNT, 2), and both 1,1'-diamino-5,5'-bistetrazole and 1,2'-diamino-5,5'-bistetrazole (11DABT, 3 and 12DABT, 4) have been prepared by the amination of the parent anion with O-tosylhydroxylamine. The 5-H-tetrazolate anion has also been aminated using hydroxylamine O-sulfonic acid to both 1-aminotetrazole and 2-aminotetrazole (1AT, 5 and 2AT, 6). The prepared materials have been characterized chemically (XRD (1-4, 6 center dot AtNO2, 8), multinuclear NMR, IR, Raman) and as explosives (mechanical and electrostatic sensitivity) and their explosive performances calculated using the EXPLO5 computer code. The prepared N-amino energetic materials, which can also be used as new ligands for high energy-capacity transition metal complexes, exhibit high explosive performances (in the range of hexogen and octogen) and a range of sensitivities from low to extremely high.",2012
Imidazolium-Based Energetic Materials,"We show that 1-(2-hydroxyethyl)-1H-imidazol-3-ium and 1-(2-hydroxyethyl)-3-methyl-1H-imidazol-3-ium salts, as well as the salts of their nitrite esters, that include oxidizing anions (so-called explosphores) such as nitrate, picrate and perchlorate are endowed with high enthalpies of decomposition, high decomposition temperatures, and high densities. This combined with detonation velocities and pressures calculated using Explo5, indicates that especially the perchlorate salts have potential as energetic materials. All the studied salts are easily preparable in up to gram scale through two or three synthetic steps from simple imidazole. Many of these salts are ionic liquids, which may render them useful as energetic plasticizers or gel filled materials.",2022
Damage in energetic materials,No abstract available,2015
Making Energetic Materials Safer,"Canine (K9) units and scientists developing explosives trace detection devices (ETDs) work with and are expose to energetic materials when imprinting the dog or building instrument libraries. However, access to extremely hazardous materials, such as explosives, is limited, with a great need for training aids that provide a safe-handling and long shelf-life material. In order to address these needs, encapsulation of energetic materials, such as triacetone triperoxide (TATP), erythritol tetranitrate (ETN) and trinitrotoluene (TNT) in a polymer matrix have been developed, and extensively characterized to ensure explosive desensitization, controlled released, clean background odor and delivery of the pure explosive as effective training aids. Although, peroxide explosives, such as TATP and hexamethylene triperoxide diamine (HMTD) are a prominent threat, and their detection a priority within K9 units and ETD manufacturers, their absorption, distribution, metabolism and excretion (ADME) in the body have not been investigated. TATP is volatile and HMTD is lipophilic allowing for their inhalation and dermal absorption. Their distribution to the body was evaluated with blood incubations, which determined that TATP is stable for at least a week, while HMTD is degraded within minutes. Hepatic metabolism was investigated with microsomal and recombinant enzyme incubations. The metabolism of TATP undergoes hydroxylation catalyzed by cytochrome P450 2B6 (CYP2B6) to form TATP-OH, which undergoes glucuronidation catalyzed by uridine diphosphoglucuronosyltransferase 2B7 (UGT2B7) to form TATP-O-glucuronide, which was excreted in the urine of laboratory personnel and bomb-sniffing dogs exposed to TATP. Detection of these peroxide explosives and/or their metabolites in biological matrices (e.g. blood and urine) can be used as forensic evidence to exposure; therefore, paper spray ionization mass spectrometry was exploited as a robust analytical method for the analysis of peroxide explosives in in vitro and in vivo biological samples.",2020
"Zwitterionic Energetic Materials: Synthesis, Structural Diversity and Energetic Properties","Zwitterionic compounds are an emergent class of energetic materials and have gained synthetic interest of many in the recent years. Due to their better packing efficiencies and strong inter/intramolecular electrostatic interactions, they often ensue superior energetic properties than their salt analogues. A systematic review from the perspective of design, synthesis, and physicochemical properties evaluation of the zwitterionic energetic materials is presented. Depending on the parent ring(s) used for the synthesis and the type of moieties bearing positive and negative charges, different classes of energetic materials, such as primary explosives, secondary explosives, heat resistant explosives, oxidizers, etc., may result. The properties of some of the energetic zwitterionic compounds are also compared with analogous energetic salts. This review will encourage readers to explore the possibility of designing new zwitterionic energetic materials. A systematic review from the perspective of design, synthesis, and physicochemical properties evaluation of the zwitterionic energetic materials is presented. The properties of some of the energetic zwitterionic compounds are also compared with analogous energetic salts. This review will encourage energetic material researchers in developing novel zwitterionic energetic materials with balanced overall properties. image",2024
Progress towards nanoengineered energetic materials,"Given the constraints on typical bond energies and the commonality of final products produced from combustion of C-H-N-O based energetic materials, the possibilities for further increases in stored potential energy and thermodynamic performance from these classes of materials are limited. Thus, modulating the energy release to achieve efficiency and effectiveness for desired applications is of great value. Investigation of nanomaterials as energetic materials began more than twenty years ago with much of the interest to increase reaction rates and reduce sensitivity. During this period, research on energetic nanoparticles was devoted to reducing the loss of energy density with metallic materials due to the naturally occurring oxide passivating layer, managing their high surface area preventing high loadings in solids, minimizing particle-particle interactions making dispersion in the gas-phase difficult, and understanding combustion mechanisms. As an outcome, novel synthesis methods of producing nanocomposites, and new fields of applications, such as micro-pyrotechnics, have developed. Yet, the research community is only beginning to understand how to ma-nipulate and build energetic materials at the nanoscale, and what designs are optimal for desired functions. Furthermore, recognizing the difficulties for increased energy density and reduced sensitivity, the development of multifunctional and smart nanoenergetic materials is currently being researched to enable control of energy release rates and material sensitivity on demand. This research is being advanced by assembly of na-noengineered energetic materials to bulk scales by additive manufacturing, the development and application of combustion diagnostics that resolve nanometer and micron scales, and ab initio quantum chemistry and molecular dynamics calculations. The challenges that have been confronted and the directions of continuing research on nanoenergetics are presented and discussed. (c) 2020 The Combustion Institute. Published by Elsevier Inc. All rights reserved.",2021
Discrete effects in energetic materials,"The classical theory of detonation wave propagation has been highly successful in prediction of detonation dynamics based on a macroscopic, continuum-based approach, wherein the heterogeneity of the energetic material only enters the model via the reaction rate term (e.g., hot-spot based reaction mechanisms). The effects of spatial heterogeneity are rarely treated explicitly in detonation models. However, considerable evidence can be found that mesoscale phenomenon can influence the dynamics of the detonation front on scales larger than the heterogeneities. Two scenarios are identified that may result in spatial non-uniformity of the detonation front influencing the macroscopic dynamics of the wave propagation: (1) large-scale heterogeneities and (2) transverse or longitudinal instability of the front. This evidence is critically reviewed, and possible directions for modeling approaches that incorporate the spatial granularity (discreteness) of the energetic material are suggested.",2014
Molecular characterization of energetic materials,"Assessing hazards due to energetic or reactive chemicals is a challenging and complicated task and has received considerable attention from industry and regulatory bodies. Thermal analysis techniques, such as Differential Scanning Calorimeter (DSC), are commonly employed to evaluate reactivity hazards. A simple classification based on energy of reaction (−ΔH), a thermodynamic parameter, and onset temperature (T o ), a kinetic parameter, is proposed with the aim of recognizing more hazardous compositions. The utility of other DSC parameter in predicting explosive properties is discussed. Calorimetric measurements to determine reactivity can be resource consuming, so computational methods to predict reactivity hazards present an attractive option. Molecular modeling techniques were employed to gain information at the molecular scale to predict calorimetric data. Molecular descriptors, calculated at density functional level of theory, were correlated with DSC data for mono nitro compounds applying Quantitative Structure Property Relationships (QSPR) and yielded reasonable predictions. Such correlations can be incorporated into a software program for a priori prediction of potential reactivity hazards. Estimations of potential hazards can greatly help to focus attention on more hazardous substances, such as hydroxylamine (HA), which was involved in two major industrial incidents in the past four years. A detailed discussion of HA investigation is presented.",2003
Terahertz spectroscopy of energetic materials,"Recently, terahertz spectroscopy has attracted increasing interest as a probe of organic molecular crystals such as pharmaceutical compounds and explosives. Terahertz time- domain spectroscopy (THz-TDS) focuses on low-frequency (10-120 cm(-1)) intermolecular modes that are characteristic of the crystal structure. The prospect of material-specific identification, combined with the ability of THz light to penetrate many common materials, has lead to an emphasis on the prospect of a THz-based, standoff explosives detection device. In this presentation, THz spectra of materials ranging from military-grade explosives to home-made explosive components will be discussed. In addition to the experimental results, THz spectral assignments will be presented based on solid-state density functional theory simulations. Finally, the effect of particle size on the observed spectra will also be considered.",2011
